name,type
author_bot,boolean
author_domain,keyword
author_gender_acc,keyword
author_id,keyword
author_name,keyword
author_multi_org_names,keyword
author_org_name,keyword
author_uuid,keyword
body_extract,keyword
Date,keyword
SSSemail_date,date
from_bot,boolean
from_domain,keyword
from_gender,keyword
from_gender_acc,keyword
from_id,keyword
from_multi_org_names,keyword
from_name,keyword
from_org_name,keyword
from_uuid,keyword
from_user_name,keyword
grimoire_creation_date,date
is_topicbox_message,long
list,keyword
Message-ID,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
origin,keyword
project_1,keyword
project,keyword
repository_labels,keyword
root,boolean
size,long
Subject_analyzed,text
Subject,keyword
tag,keyword
thread,keyword
tz,long
uuid,keyword
